code,title,description,lithology,span,lithology
Tcs,"Mainly sedimentary rocks, Coso Formation","Generally light buff to whitish, fine-grained fluvial, deltaic, and wetlands deposits, lesser olive-colored lacustrine mudstones; also reddish weathering siltstone, sandstone, and pebble conglomerate with interbedded volcanic ash; contains early Pliocene (Blancan) mammalian faunal remains; overlies about 3.5 to 5.8 Ma basalt in the northern Coso Range, and has intercalated middle Pliocene, about 3.14+0.15 Ma ash-flow tuff on the west side of the Coso Range near Haiwee Reservoir. Maximum thickness probably greater than 300 m",,Pliocene,
Tcs?,"Mainly sedimentary rocks, Coso Formation, uncertain","Generally light buff to whitish, fine-grained fluvial, deltaic, and wetlands deposits, lesser olive-colored lacustrine mudstones; also reddish weathering siltstone, sandstone, and pebble conglomerate with interbedded volcanic ash; contains early Pliocene (Blancan) mammalian faunal remains; overlies about 3.5 to 5.8 Ma basalt in the northern Coso Range, and has intercalated middle Pliocene, about 3.14+0.15 Ma ash-flow tuff on the west side of the Coso Range near Haiwee Reservoir. Maximum thickness probably greater than 300 m",,Pliocene,
Tcu,"Coso Formation, undifferentiated",Volcanic and clastic rocks of the Coso Formation undifferentiated. Maximum thickness greater than 300 m,,Pliocene,
Tcu?,"Coso Formation, undifferentiated, uncertain",Volcanic and clastic rocks of the Coso Formation undifferentiated. Maximum thickness greater than 300 m,,Pliocene,
Tcv,"Coso Formation, undifferentiated volcanic rocks",Siliceous volcanic rock found along the north eastern Coso Range and southern Lower Centennial Flat. Maximum thickness probably about 150 m,,Pliocene,
Tcv?,"Coso Formation, undifferentiated volcanic rocks, uncertain",Siliceous volcanic rock found along the north eastern Coso Range and southern Lower Centennial Flat. Maximum thickness probably about 150 m,,Pliocene,
Tcvr,Volcanic ash flow and ash,Unconsolidated or poorly indurated siliceous ash underlying Tb in the northern part of the Coso Range; may also underlie Tcs in the northwestern part of the Coso Range. Thickness ranges from about 10 to 75 m,,early Pliocene and late Miocene,
Trb,"Sedimentary rocks, red beds","Clastic rocks consisting of red beds that underlie the Coso Range. Mainly well bedded, also locally crossbedded, ripple laminated arkosic sandstones. Clasts moderately sorted, sub-angular to well-rounded; fine to coarse sand, grit, pebbles, and small cobbles. Moderately consolidated. Local interbedded siliceous tuffs. Bedding and facies suggest fluvial origin. Locally weathered to deep rusty red. Thickness ranges from about 5 to 50 m",,early Pliocene and late Miocene,
Ts,Sedimentary rocks,"Clastic sedimentary rocks, mainly coarse alluvial fan deposits consisting of sand, pebbles, gravel, cobbles and boulders; moderately to poorly stratified. Locally interbedded rhyolitic ash and basaltic flows. Commonly Stage III to Stage IV or greater calcic horizons. Includes the Nova Formation in the northern Panamint Range where it unconformably overlies basement rocks; unit age probably around 2 to 4 Ma. Maximum thickness may exceed 1,600 m in the Panamint Range",,Pliocene,
Ts?,"Sedimentary rocks, uncertain","Clastic sedimentary rocks, mainly coarse alluvial fan deposits consisting of sand, pebbles, gravel, cobbles and boulders; moderately to poorly stratified. Locally interbedded rhyolitic ash and basaltic flows. Commonly Stage III to Stage IV or greater calcic horizons. Includes the Nova Formation in the northern Panamint Range where it unconformably overlies basement rocks; unit age probably around 2 to 4 Ma. Maximum thickness may exceed 1,600 m in the Panamint Range",,Pliocene,
Tsa,"Sedimentary rocks, arkosic","Clastic rocks consisting of arkosic sediments with intercalated siliceous ash that locally underlies basalt (about 6 Ma in age) in the Darwin Wash area. Locally well bedded and crossbedded, moderately sorted sandstone, mudstone and scarce conglomerate. Bedding characteristics suggest fluvial origin. Basal contact is locally strongly modified by secondary brownish-yellow jasper, which forms deposits 1 to 2 meters thick. Locally cut by mafic dikes that feed the overlying basalt. Thickness ranges from about 0.5 to 10 m",,late Miocene,
Tv,Volcanic rock,Andesite and other undifferentiated siliceous volcanic rocks. Tv underlies Tsa in the lower Darwin Canyon Wash. Overlies Paleozoic rocks and underlies Ts on Ash Hill. Also located on the southeast range front of the Argus Range around Shepherd Canyon where the rocks are middle and late Miocene age (about 12.6 to 13.0 Ma uncorrected K/Ar whole-rock ages). Unconformably overlies Paleozoic rocks. Thickness ranges from about 0.5 to 10 m,,early Pliocene to late middle Miocene,
Tv?,"Volcanic rock, uncertain",Andesite and other undifferentiated siliceous volcanic rocks. Tv underlies Tsa in the lower Darwin Canyon Wash. Overlies Paleozoic rocks and underlies Ts on Ash Hill. Also located on the southeast range front of the Argus Range around Shepherd Canyon where the rocks are middle and late Miocene age (about 12.6 to 13.0 Ma uncorrected K/Ar whole-rock ages). Unconformably overlies Paleozoic rocks. Thickness ranges from about 0.5 to 10 m,,early Pliocene to late middle Miocene,
Tvash,"Volcanic ash, associated with Tv",Volcanic ash and tephra associated with Tertiary volcanic rocks; siliceous ash and pumice deposits,,Pliocene to Miocene,
Tvcf,"Volcanic ash flow and ash, Centennial Flat",Unconsolidated or poorly indurated siliceous ash underlying Tb in the northern part of the Coso Range west of Centennial Flat. Thickness ranges from about 10 to 25 m,,early Pliocene and late Miocene,
Tvd,"Rhyodacite, Coso Formation","Massive, dark weathering, cliff-forming rhyodacitic indurated tuff, approximately 2.5 Ma; unconformably overlies Tvrc and Tca in the west part of the Coso Range. Generally 10 to 30 m thick",,Pliocene,
Tvd?,"Rhyodacite, Coso Formation, uncertain","Massive, dark weathering, cliff-forming rhyodacitic indurated tuff, approximately 2.5 Ma; unconformably overlies Tvrc and Tca in the west part of the Coso Range. Generally 10 to 30 m thick",,Pliocene,
Tvdo,"Older dacitic volcanic rock, Coso Formation",Reddish weathering dacite; moderately porphyritic; overlies about 3.3- to 3.5-Ma Tb and is overlain by about 3.0 Ma pumice of Tca on the east side of Coso Wash; may be correlative in age with Tcla of the Coso Formation. Thickness ranges from about 5 to 60 m,,Pliocene,
Tves,Pediment developed on Tertiary volcanic rock,Gently sloping erosional surfaces developed on unit Tvd and Tvrc in various stages of erosion and burial,,Quaternary and late Pliocene,
Tvpd,Pediment inset onto Tertiary volcanic rock,"Erosional surfaces in various stages of erosion and burial, inset onto unit Tvd and Tvrc and inferred to be mainly late Quaternary age",,Quaternary and late Pliocene,
Tvrc,"Red weathering rhyodacitic volcanic rock, Coso Formation",Rhyodacitic volcanic rock that underlies Tvd and overlies Tca on the west flank of the Coso Range. From 10 to 30 m thick,,Pliocene,
Tvrc?,"Red weathering rhyodacitic volcanic rock, Coso Formation, uncertain",Rhyodacitic volcanic rock that underlies Tvd and overlies Tca on the west flank of the Coso Range. From 10 to 30 m thick,,Pliocene,
ca,"Meta-sedimentary, Metamorphic, and Plutonic Rocks of the Panamint Range","Undivided meta-sedimentary rocks of mainly Paleozoic and Precambrian age, plutonic rocks of Precambrian, Mesozoic, and Cenozoic age, and subordinate meta-volcanic and meta-sedimentary rocks of Mesozoic age in the Panamint Range",,"Mesozoic, Paleozoic, and Precambrian",metasedimentary
ff,Faceted bedrock spur,"Geomorphic feature consisting of a triangular ridge spur, generally a fault-controlled surface along a range front; commonly eroded and rilled or gullied if older, may be slickensided if younger",,Pleistocene and late Pliocene,
ml,Made land,"Material moved for construction, agricultural, or other disturbances extensive enough to modify natural landforms and make deposits difficult to identify",,Holocene,artificial
ve,Volcanic vent area,Geomorphic area of closed depression situated within a generally conical volcanic edifice,,Quaternary and late Pliocene,
ve?,"Volcanic vent area, uncertain",Geomorphic area of closed depression situated within a generally conical volcanic edifice,,Quaternary and late Pliocene,
