code,title,description,span,lithology
Pcq,Conglomerate Mesa Formation,"Silty limestone, with conglomerate layers and local interbedded silty limestone (Moore, 1976). These strata are generally metamorphosed to hornfels or higher metamorphic grades (Moore, 1976; Fowler, 1982; Stone, 1984). megabreccia of clasts of Johnnie Formation – Unsorted, coarse-grained, monolithologic deposit of green-gray, meta-calcsilicates laminated on a centimeter-scale with gray silica-rich layers all of which has a strong ductile deformation fabric. Clasts range from 1–2 m angular boulders to cobble and pebble sizes. These clasts are correlated to the Neoproterozoic Johnnie Formation present in the western Panamint Range (Andrew and Walker, 2009), although they may correlate to the middle member of the Noonday Dolomite in the Panamint Range. Exotic clast conglomerates Nmd 56 26 Ü Pb Pb 20 22 Qo Nms Nmp Jam 63 QNpa Nmm 54 Jam @ Npc Nmv Nmp 42 74 Nmb 32 @ Manly Fall Nmp Jam 25 50 Qa 80 QNpa 51 33 @ Slate Range Crossing 49 Nmb 5 60 Kic @ Homewood Canyon Nmb o 39 55 Nma 67 o 30 Qo 39 Qa Nmp Nma 49 23 Qps @ _ ^ U/Pb samples from Dunne and Walker (2004) Qo @ 19 Nmv Nma 54 Nmp 54 Nmb Nmp Nmb 79 Nmb 34 Jmc 36°N Nmb 29 49 39 25 10 Pb Qa 31 Nma Nmb Pb 30 ¹ 28 35 00 26 Qo Qps Sidehill Spring 0 420 @ Qa 25 38 38 74 51 Pb Nmb 37 Nma 40 Qc Pb 8 20 50 @ Jmc 35 25 @ 3400 5200 15 Nmv Pb Nmv 20 25 Nmb Mohawk Mine Kap ( Po 31 o Skull Spring Qa 0 45 60 50 Qa EY Nmb 00 320 66 ¹ 55 Nmv 55 Po Pb 88 57 25 Nmv Nmb Nmv Npc 34 20 Nmp Nmp 28 o Nmv 37 Pb Nmb 35 Qo Nmp 30 3 Slate Range Crossing Map Area with 7.5’ quadrangle boundaries Ballarat Qo Qo 0 80 ( 15 63 Qps @ 40°N Veeta Mine Qo Nmb 00 5400 00 59 41 Nmp @ Kic Nmb 40 Pb ( Nmb @ Qa Qa 32 North Ruth Spring 22 Qo 50 3600 Kap 40 78 25 Qa @ 00 4 80 64 QNpa 40 53 Nmb 64 Nmv @ Msr Qy 34 Qc 0 00 42°N 0 40 12 50 LL 4800 @ 57 ( Qa Qa 2800 320 o 54 Qa VA 0 Cr n a C 25 26 53 40 Nmv j j jÜ 34 30 66 68 Jam 2800 00 34 56 62 55 19 Qy 00 Qc ow yo n @ 74 Qo 28 Qo 3800 @ @ Qo 42 o o o Qa 40 2400 Msr 30 10 15 74 Nmv Nmv RA Qa S 00 14 @ 58 @ @ @ 34 Qa Qo Pb 66 32 Pb 2600 0 360 84 30 Nmr 15 54 Qa @ Nmv @ 35 LE 40 @ 17 Qo Jmc Ar/39Ar samples from Andrew and Walker (2009) 40 _ ^ peraluminous facies – Light gray, medium to coarse-grained, equigranular granite which locally contains abundant red fine to coarse garnet phenocrysts. Garnet glomerocrystic clots, 1–15 mm in diameter, are locally common. This unit intrudes Copper Queen Canyon granite to the south of the map area and was interpeted by Moore (1976) to intrude the Stockwell Diorite. The unit has few, if any, deformation textures and thus weathers into large well-rounded boulders. Jcp Exposures of single rock type breccia deposits of two different compositions occur at several small inselbergs. These breccia deposits are interpreted as landslide deposits because they are unsorted and have cataclastic-like textures with relatively angular clasts. These are exposed only north of Highway 178 and are not in contact with any other Neogene units, although they are exposed within ~500 m of the exotic clast conglomerate described below. The dip of the nearby Miocene conglomerates projects below these breccia deposits so these breccia deposits are probably younger. The two types are as follows: Qp QNpa Nmv Nmb Nmb Nmv Pb 25 88 37 jÜ Nmb Qy ¹ o o¹ o o o o 37 35 Qo Nmb Nmv @ k Monolithic breccia deposits QNpa QNpa @ Po 00 4 36 3600 00 00 54 0 40 n yo 00 38 0 Can @ Pb Qo 32 Ruth Mine @ 90 Nmv Nma Nmb Qp AR Qo 4000 @ 49 2600 0 480 420 520 od Qo 4600 0 Qo Qo @ Qa 48 Nmb Nmb Nmv 77 33 Nmm Msr Nmp @ Qy @ Nmp Nmm 12 k 60 Qo @ Fold axis Nmp 40 o QNpa 59 Po Qa Nmb",Permian,
Qe,eolian,"Well-sorted, unconsolidated silt or sand deposited in dunes and dune fields. QNpa @ @ Nmd 0 300 3 - @ 5000 280 Nmd 00 44 Npb Nma Qy 0 80 @ @ @ Qo",Holocene,
Jd,hornblende diorite of Goler Wash,"Diorite that is interpreted to be a border phase of the Hunter Mountain quartz monzonite (Moore, 1976). This unit contains plagioclase and pyroxene phenocrysts.",Jurassic,
Js,meta-siltstone,"Epidote quartz hornfels of siltstone protoliths. The color of this rock varies from bright green to reddish gray and most exposures have abundant fractures, possibly due to the massive texture and the close proximity of the thrust belt. This unit is structurally overlain by meta-andesite mylonites.",Jurassic,
Pd,Darwin Canyon Formation,"A distinct sequence of fissile light-yellow-brown to pinkish brown siltstone with interbeds of brown sandstone, conglomerate beds near base (Moore, 1976; Stone, 1984). This unit is allochthonous and occurs in a thrust slice in Water Canyon and southward, where it is <100 m thick (Stone, 1984). Po",Permian,
Qpt,tufa,"Deposit of red-colored, iron-stained, calcium carbonate tufa with pea-sized vug spaces. This unit only occurs in a few outcrops in Panamint Valley east of Water Canyon. A significant portion of this deposit has been mined away. QNpa Nmg Nmg Qpt QNpa 1400 @ @ @ Nma Jvs 74 Jma Jma Jmc Nmp 0 Jmc 00 50 Nma Jam Jvs Nmb Nmb Qo Npb 20 Jma Jvs ( Nmp s Jma Jmc @ Nms 420 13",Pleistocene,
Ka,granite of Argus Peak,"Light gray, medium to coarse-grained, equigranular granite that weathers into large pinnacle shapes. Correlated to regional isolated plutons of undeformed granitic rocks with Late Cretaceous ages (e.g., 70 Ma Hall Canyon Granite in the western Panamint Range [Mahood et al., 1996]).",Cretaceous,
Tv,volcanic debrid flow deposit,"Volcanic debris flow deposits occurs throughout the area above the white pyroclastic deposits and below the Miocene intermediate composition lava flows. These rock units are grayish-tan deposits of dacitic lava clasts and probably represent lahar deposits, although there is no known source area. Most of these units are poorly sorted breccias with angular to subangular clasts but at several localities these breccias grade upward into a well-bedded conglomerate of the same dacitic clast types. Sample name Qa Nmv Jam 41 Nmp Nmb 53 14.49 ± 0.86 85 Nmv ^ _ Nmv Nmp 84 88 Nmp Nmv 63 Nma 28 26 Nmp 13.92 ± 0.06 SR12-07-01C ¹ j Jms Slate Range Crossing Nmp Nmb Fault plane",Miocene,
Pc?,Conglomerate Mesa Formation,"Silty limestone, with conglomerate layers and local interbedded silty limestone (Moore, 1976). These strata are generally metamorphosed to hornfels or higher metamorphic grades (Moore, 1976; Fowler, 1982; Stone, 1984). megabreccia of clasts of Johnnie Formation – Unsorted, coarse-grained, monolithologic deposit of green-gray, meta-calcsilicates laminated on a centimeter-scale with gray silica-rich layers all of which has a strong ductile deformation fabric. Clasts range from 1–2 m angular boulders to cobble and pebble sizes. These clasts are correlated to the Neoproterozoic Johnnie Formation present in the western Panamint Range (Andrew and Walker, 2009), although they may correlate to the middle member of the Noonday Dolomite in the Panamint Range. Exotic clast conglomerates Nmd 56 26 Ü Pb Pb 20 22 Qo Nms Nmp Jam 63 QNpa Nmm 54 Jam @ Npc Nmv Nmp 42 74 Nmb 32 @ Manly Fall Nmp Jam 25 50 Qa 80 QNpa 51 33 @ Slate Range Crossing 49 Nmb 5 60 Kic @ Homewood Canyon Nmb o 39 55 Nma 67 o 30 Qo 39 Qa Nmp Nma 49 23 Qps @ _ ^ U/Pb samples from Dunne and Walker (2004) Qo @ 19 Nmv Nma 54 Nmp 54 Nmb Nmp Nmb 79 Nmb 34 Jmc 36°N Nmb 29 49 39 25 10 Pb Qa 31 Nma Nmb Pb 30 ¹ 28 35 00 26 Qo Qps Sidehill Spring 0 420 @ Qa 25 38 38 74 51 Pb Nmb 37 Nma 40 Qc Pb 8 20 50 @ Jmc 35 25 @ 3400 5200 15 Nmv Pb Nmv 20 25 Nmb Mohawk Mine Kap ( Po 31 o Skull Spring Qa 0 45 60 50 Qa EY Nmb 00 320 66 ¹ 55 Nmv 55 Po Pb 88 57 25 Nmv Nmb Nmv Npc 34 20 Nmp Nmp 28 o Nmv 37 Pb Nmb 35 Qo Nmp 30 3 Slate Range Crossing Map Area with 7.5’ quadrangle boundaries Ballarat Qo Qo 0 80 ( 15 63 Qps @ 40°N Veeta Mine Qo Nmb 00 5400 00 59 41 Nmp @ Kic Nmb 40 Pb ( Nmb @ Qa Qa 32 North Ruth Spring 22 Qo 50 3600 Kap 40 78 25 Qa @ 00 4 80 64 QNpa 40 53 Nmb 64 Nmv @ Msr Qy 34 Qc 0 00 42°N 0 40 12 50 LL 4800 @ 57 ( Qa Qa 2800 320 o 54 Qa VA 0 Cr n a C 25 26 53 40 Nmv j j jÜ 34 30 66 68 Jam 2800 00 34 56 62 55 19 Qy 00 Qc ow yo n @ 74 Qo 28 Qo 3800 @ @ Qo 42 o o o Qa 40 2400 Msr 30 10 15 74 Nmv Nmv RA Qa S 00 14 @ 58 @ @ @ 34 Qa Qo Pb 66 32 Pb 2600 0 360 84 30 Nmr 15 54 Qa @ Nmv @ 35 LE 40 @ 17 Qo Jmc Ar/39Ar samples from Andrew and Walker (2009) 40 _ ^ peraluminous facies – Light gray, medium to coarse-grained, equigranular granite which locally contains abundant red fine to coarse garnet phenocrysts. Garnet glomerocrystic clots, 1–15 mm in diameter, are locally common. This unit intrudes Copper Queen Canyon granite to the south of the map area and was interpeted by Moore (1976) to intrude the Stockwell Diorite. The unit has few, if any, deformation textures and thus weathers into large well-rounded boulders. Jcp Exposures of single rock type breccia deposits of two different compositions occur at several small inselbergs. These breccia deposits are interpreted as landslide deposits because they are unsorted and have cataclastic-like textures with relatively angular clasts. These are exposed only north of Highway 178 and are not in contact with any other Neogene units, although they are exposed within ~500 m of the exotic clast conglomerate described below. The dip of the nearby Miocene conglomerates projects below these breccia deposits so these breccia deposits are probably younger. The two types are as follows: Qp QNpa Nmv Nmb Nmb Nmv Pb 25 88 37 jÜ Nmb Qy ¹ o o¹ o o o o 37 35 Qo Nmb Nmv @ k Monolithic breccia deposits QNpa QNpa @ Po 00 4 36 3600 00 00 54 0 40 n yo 00 38 0 Can @ Pb Qo 32 Ruth Mine @ 90 Nmv Nma Nmb Qp AR Qo 4000 @ 49 2600 0 480 420 520 od Qo 4600 0 Qo Qo @ Qa 48 Nmb Nmb Nmv 77 33 Nmm Msr Nmp @ Qy @ Nmp Nmm 12 k 60 Qo @ Fold axis Nmp 40 o QNpa 59 Po Qa Nmb",Permian,
Jcg,Copper Queen Canyon Granite,"Light pink, coarse-grained alaskitic granite that occurs throughout the Slate Range. This rock has a distinctive appearance in hand sample, an irregular mosaic of quartz and feldspar (Moore, 1976). A sample of this unit from Dunne and Walker (2004) has a U-Pb zircon age of 159 ± 1 Ma. 42 @ ( Nmb Nmm 66 Jmc Qo 600 @ H 40 Nmb k o Msr m Nmb Mp Nma 31 Nmv Nmp Nmv 30 Qo 39 Nmv Nmp @ 3000 @ 64 Qa 00 30 00 32 0 60 Parsons Spring @ @ AS j 32 Ps Pb 65 o ¹ o 78 40 @ @ Nmv 57 50 00 @ 45 @ 26 @ 63 @ 81 Nmp Ps Nmm 70 Nmb Nmv o o o Qo 53 Pb 76 63 8 Nmb Nma Nmv Nmm 3400 Qa 72 82 Ps o o jj j Nmb 2800 Nmb 23 QNpa Nma 28 Nmp @ ¹ 77 Nma Nmv Jam 70 Ü Qo j j o j jj o Ps Ps Nmv Nmv ¹ 00 Nmm 52 Qp @ 0 77 Nmg Qe Nmm 240 49 Nmb Nma Nmp Nmb joo Qc 9 57 Nmb Nmv Nmb 67 42 Nmp Nmv Nma 40 Nma Qo Nmg QNpa Nmi 25 Saint Patrick Mine 30 LM96-2 QNpa Nmv 16 00 3400 Joint LM96-2 Nmp Nmp Nmv Nmv Qc 67 28 Üj jjÜ Orondo 0 73 Mine 38056 14 58 Jcq Geochronology samples Nmv Nmb 75 Qc 60 @ 28 27 45 7.13 ± 2.05 Nmb Nmb Nmp Qc 28 o oj 82 Nma 16 46 Nmv Nmp Jam Nmp Nmv Nmb Qo Nmp 28 Nmg 47 61 75 Ps Nmp j ¹ j Jmc 76 @ Qc Nmb o o¹ Nma Nma 00 00 3800 5560 122°W @ @ @ o @ Qc Nmv QNpa 38 65 34 79 Nmv Nmp Qo Nmb Qo Axial planar cleavage ä é Ú Nmv Nmb 00 47 20 00 Nma 00 Pcq Qc Nmv @ 45 Ü Nmv Nmb Nmg Jam 31 74 Nmm 28 j 30 @ Nmm Nmb @",Jurassic,
Pcc,Conglomerate Mesa Formation,"Silty limestone, with conglomerate layers and local interbedded silty limestone (Moore, 1976). These strata are generally metamorphosed to hornfels or higher metamorphic grades (Moore, 1976; Fowler, 1982; Stone, 1984). megabreccia of clasts of Johnnie Formation – Unsorted, coarse-grained, monolithologic deposit of green-gray, meta-calcsilicates laminated on a centimeter-scale with gray silica-rich layers all of which has a strong ductile deformation fabric. Clasts range from 1–2 m angular boulders to cobble and pebble sizes. These clasts are correlated to the Neoproterozoic Johnnie Formation present in the western Panamint Range (Andrew and Walker, 2009), although they may correlate to the middle member of the Noonday Dolomite in the Panamint Range. Exotic clast conglomerates Nmd 56 26 Ü Pb Pb 20 22 Qo Nms Nmp Jam 63 QNpa Nmm 54 Jam @ Npc Nmv Nmp 42 74 Nmb 32 @ Manly Fall Nmp Jam 25 50 Qa 80 QNpa 51 33 @ Slate Range Crossing 49 Nmb 5 60 Kic @ Homewood Canyon Nmb o 39 55 Nma 67 o 30 Qo 39 Qa Nmp Nma 49 23 Qps @ _ ^ U/Pb samples from Dunne and Walker (2004) Qo @ 19 Nmv Nma 54 Nmp 54 Nmb Nmp Nmb 79 Nmb 34 Jmc 36°N Nmb 29 49 39 25 10 Pb Qa 31 Nma Nmb Pb 30 ¹ 28 35 00 26 Qo Qps Sidehill Spring 0 420 @ Qa 25 38 38 74 51 Pb Nmb 37 Nma 40 Qc Pb 8 20 50 @ Jmc 35 25 @ 3400 5200 15 Nmv Pb Nmv 20 25 Nmb Mohawk Mine Kap ( Po 31 o Skull Spring Qa 0 45 60 50 Qa EY Nmb 00 320 66 ¹ 55 Nmv 55 Po Pb 88 57 25 Nmv Nmb Nmv Npc 34 20 Nmp Nmp 28 o Nmv 37 Pb Nmb 35 Qo Nmp 30 3 Slate Range Crossing Map Area with 7.5’ quadrangle boundaries Ballarat Qo Qo 0 80 ( 15 63 Qps @ 40°N Veeta Mine Qo Nmb 00 5400 00 59 41 Nmp @ Kic Nmb 40 Pb ( Nmb @ Qa Qa 32 North Ruth Spring 22 Qo 50 3600 Kap 40 78 25 Qa @ 00 4 80 64 QNpa 40 53 Nmb 64 Nmv @ Msr Qy 34 Qc 0 00 42°N 0 40 12 50 LL 4800 @ 57 ( Qa Qa 2800 320 o 54 Qa VA 0 Cr n a C 25 26 53 40 Nmv j j jÜ 34 30 66 68 Jam 2800 00 34 56 62 55 19 Qy 00 Qc ow yo n @ 74 Qo 28 Qo 3800 @ @ Qo 42 o o o Qa 40 2400 Msr 30 10 15 74 Nmv Nmv RA Qa S 00 14 @ 58 @ @ @ 34 Qa Qo Pb 66 32 Pb 2600 0 360 84 30 Nmr 15 54 Qa @ Nmv @ 35 LE 40 @ 17 Qo Jmc Ar/39Ar samples from Andrew and Walker (2009) 40 _ ^ peraluminous facies – Light gray, medium to coarse-grained, equigranular granite which locally contains abundant red fine to coarse garnet phenocrysts. Garnet glomerocrystic clots, 1–15 mm in diameter, are locally common. This unit intrudes Copper Queen Canyon granite to the south of the map area and was interpeted by Moore (1976) to intrude the Stockwell Diorite. The unit has few, if any, deformation textures and thus weathers into large well-rounded boulders. Jcp Exposures of single rock type breccia deposits of two different compositions occur at several small inselbergs. These breccia deposits are interpreted as landslide deposits because they are unsorted and have cataclastic-like textures with relatively angular clasts. These are exposed only north of Highway 178 and are not in contact with any other Neogene units, although they are exposed within ~500 m of the exotic clast conglomerate described below. The dip of the nearby Miocene conglomerates projects below these breccia deposits so these breccia deposits are probably younger. The two types are as follows: Qp QNpa Nmv Nmb Nmb Nmv Pb 25 88 37 jÜ Nmb Qy ¹ o o¹ o o o o 37 35 Qo Nmb Nmv @ k Monolithic breccia deposits QNpa QNpa @ Po 00 4 36 3600 00 00 54 0 40 n yo 00 38 0 Can @ Pb Qo 32 Ruth Mine @ 90 Nmv Nma Nmb Qp AR Qo 4000 @ 49 2600 0 480 420 520 od Qo 4600 0 Qo Qo @ Qa 48 Nmb Nmb Nmv 77 33 Nmm Msr Nmp @ Qy @ Nmp Nmm 12 k 60 Qo @ Fold axis Nmp 40 o QNpa 59 Po Qa Nmb",Permian,
Ks,Stockwell diorite,"Plagioclase porphyritic diorite. These intrude Triassic to Jurassic metasedimentary rocks and appear to grade into porphyritic diorite dikes. The largest exposure contains strongly porphyritic textures with medium-grained phenocrysts of plagioclase and quartz in an aphanitic white-gray matrix. Moore (1976) interpreted this unit to be a border phase of the Hunter Mountain Quartz Monzonite, but this unit has porphyritic textures similar to the regionally abundant, Late Jurassic Independence dike swarm (Chen and Moore, 1979) and intrudes units interpreted to be Late Jurassic. Jmc Trend and plunge of linear structures Qps Qo Nmv Nmp 36 Qa Nmp 24 38 3600 46 42 0 Maturango Peak oo Ü o 55 Qo 77 380 Qo jj 56 Qc 520 38°N Ü¹ 7 00 00 0 jÜ Ü Ü Üj j 40 44 0 560 560 @ o Nmv Nmv 16 43 90 55 Qp Qpb Nmb @ Bedding 45 Jid",Jurassic,
